model_name,text_name,model_id,max_tokens,temperature,top_k,top_p,round_number,continuation_length,continuation_tokens,generation_time_seconds,generation_time_ms,timestamp,continuation_text,pct_unfamiliar_words,avg_sentence_length,cloze_score,reading_level,word_count,sentence_count,sentence_length_variance,vocabulary_diversity,bigram_repetition_rate,trigram_repetition_rate,unique_word_ratio_100,word_entropy,char_entropy,comma_density,semicolon_density,question_density,exclamation_density,avg_syllables_per_word,long_word_ratio,function_word_ratio,sentence_length_skewness,sentence_length_kurtosis,avg_word_length,adjacent_coherence,global_coherence,local_coherence_3sent,coherence_variance,num_rounds,cloze_score_std,vocab_diversity_std,context_length
koboldcpp/Muse-12B.i1-Q6_K,everville.txt,ROPE-16384,512,0.0,1,0.01,1,2116,513,29.239887,29239,2025-10-16T08:13:43.812041,"The prophet turned his head, and Harry saw his face clearly now. It was a face he knew, though he could not place it. The beard was familiar, the eyes, the nose, the mouth. He had seen this man before, but where? The prophet saw him too, and his face hardened.

Harry backed away, but the prophet was already moving, his staff raised. The fire it spat was not aimed at Harry, but at the dying woman, who had begun to dissolve, her body unraveling like a thread pulled from a sweater. The prophet watched her go, then turned his gaze back to Harry.

Harry had no time to think. He ran.

Behind him the dying woman was still dissolving, her flesh unraveling in strands that hung in the air like smoke. He heard her last breath, a sound like a thread being pulled from a loom. He heard the prophet following, his footsteps deliberate, unhurried.

He reached the stairs and took them two at a time, his bare feet slapping the stone. Behind him the prophet called out, not in anger, but in something worse: disappointment.

""Harry D'Amour,"" he said, and Harry froze.

He turned, halfway up the stairs, to see the prophet ascending, his staff still smoking.

""Harry D'Amour,"" the prophet said again, and now Harry placed him. It was Father McGann, the priest who had married his parents, who had christened him, who had blessed him as a child. The man who had once given him communion wafers and now wielded a weapon that could unmake a body.

""Father,"" Harry said, his voice breaking.

McGann's face was unchanged, but his eyes were not. They were the color of old milk, and his beard was matted with the blood of his victims.

""You've come to see the sea,"" McGann said, and there was no question in it. ""I knew you would.""

Harry backed up the stairs, his hands raised. ""I didn't know it was you.""

McGann followed, his staff lowered now. ""You always did have a taste for the impossible,"" he said. ""Even as a boy.""

""I didn't know,"" Harry repeated, but McGann shook his head.

""You knew. You always knew. You just didn't know you knew.""

Harry reached the top of the stairs, and Ted was there, his face a mask of horror.",0.2591,11.03,31.78,9-10,386,35,37.32,0.443,0.1351,0.0208,0.6602,6.7142,4.1323,1.2286,0.0,0.0286,0.0,1.3109,0.1244,0.456,0.7353,0.3034,4.1943,0.6518,0.7946,0.6495,0.0072,1,0.0,0.0,4096
koboldcpp/Muse-12B.i1-Q6_K,everville.txt,ROPE-16384,512,0.0,1,0.01,1,2113,513,35.090836,35090,2025-10-16T08:14:20.254936,"The prophet turned his head, and Harry saw his face clearly now. It was a face he knew, though he could not place it. The eyes were too familiar, the beard too familiar. The prophet saw him too, and his face hardened.

Harry had no time to think. He drew his gun and fired, the shot deafening in the confined space. The prophet staggered, but did not fall. Instead he raised his staff, and Harry felt the heat of the blast before it struck him, a searing line of agony from his shoulder to his ribs. He fell, but not dead. He was still conscious as the prophet approached, the staff raised for a killing blow.

Harry rolled, and fired again, this time at the prophet’s chest. The prophet grunted, but did not stop. He was on Harry in a moment, the staff descending. Harry caught it with his left hand, and the pain was unbearable. His fingers burned, but he held on, and with his right hand fired again, this time at the prophet’s throat. The prophet fell to his knees, clutching the wound, but still he did not die. He looked at Harry with a look of recognition.

“You don’t know me, do you?” he said, blood bubbling at his lips.

Harry kicked the staff from his grip, and got to his feet, his shoulder screaming. The prophet fell forward, but still he lived, and Harry put a bullet in his skull. Only then did he die, the body twitching, the staff rolling away.

Harry stood over him, panting, his shoulder a mass of agony. The chamber was now almost dark, the last of the filaments dying, the last of the light guttering. He could hear the wounded moaning, but they were dying too, their wounds too severe to be survived. The cradle was a ruin of veils and bodies, the sea beyond the sliver a distant memory.

He turned to the stairs, but Ted was already there, his face pale in the gloom.

“What the hell was that thing?” Ted said.

Harry shook his head. He had no answer. He had no time to give one. The prophet was not dead. His body was moving, the bullet wounds knitting, the blood drying. His eyes opened, and he sat up, his face still showing recognition.

“You don’t know me, do you, Harry D’Amour? You",0.2702,10.7,30.95,9-10,396,37,31.1,0.4444,0.1443,0.0457,0.6457,6.6252,4.0789,1.1622,0.0,0.0811,0.0,1.2904,0.1263,0.4596,0.6962,0.6296,4.1237,0.6506,0.8032,0.6482,0.0039,1,0.0,0.0,6144
koboldcpp/Muse-12B.i1-Q6_K,everville.txt,ROPE-16384,512,0.0,1,0.01,1,2093,513,41.798016,41798,2025-10-16T08:15:03.408480,"The prophet turned his head, and Harry saw his face clearly now. It was a face of such terrible beauty it made Harry’s breath catch. The eyes were black, the beard a cascade of silver, the mouth a wound of a mouth, the nose a blade of bone. He was not human, but he was not of Quiddity either. He was something else, something that had come from the sea, or the sky, or the spaces between.

Harry backed away, but the prophet had already seen him. His head tilted, as if considering Harry, and then he raised the staff.

Harry had no time to think. He ducked, and the blast of fire went over his head, scorching the wall behind him. He rolled, and came up with his gun in hand, firing twice. The prophet did not flinch, but the bullets struck his chest and fell away, as though the air itself had caught them.

Harry fired again, and again, and again, until the hammer clicked on empty chambers. The prophet smiled, and Harry saw his teeth were not teeth at all, but something like the teeth of a shark, rows of them, and he was moving forward, the staff raised.

Harry turned and ran, but the prophet was faster. The staff struck him in the back, and Harry felt the fire spread up his vertebrae, not burning, but freezing. He fell, and the prophet was on him, the staff now at his throat.

“You are not of us,” the prophet said, his words like the breaking of ice.

Harry tried to speak, but the cold had reached his jaw. He could not.

The prophet leaned closer, his breath like the smell of the deep. “You are not of us, and yet you saw the shore. Why is that, I wonder? Why do you see what you should not see? Why do you dream what you should not dream? Why do you know what you should not know? Why do you want what you should not want? Why do you want to go home, little man? Why do you want to go home so badly? Why do you want to go home so badly? Why do you want to go home so badly? Why do you want to go home so badly? Why do you want to go home so badly? Why do you want to go home so badly? Why do you want to go home so badly? Why do you want to go home so badly? Why do you want",0.2104,11.75,35.9,7-8,423,36,31.91,0.383,0.2962,0.2114,0.5571,6.448,4.0607,1.0556,0.0,0.3889,0.0,1.2009,0.0709,0.5248,1.513,2.8747,3.7967,0.7629,0.7899,0.7567,0.0191,1,0.0,0.0,8192
koboldcpp/Muse-12B.i1-Q6_K,everville.txt,ROPE-16384,512,0.0,1,0.01,1,2066,513,56.936226,56936,2025-10-16T08:16:01.794455,"The staff was raised again, and Harry saw the fire go from it, but this time he was in its path. He had no time to duck, no time to draw his gun. The blast struck him in the chest, and he felt it burn through his flesh, not as a wound, but as a summons. It was not killing him, but calling him. He was yanked forward, the force of it lifting him off his feet, and he found himself in the air, the staff still in the man’s grip, the fire still licking at his ribs.

He landed at the patriarch’s feet, and the staff was withdrawn, leaving him gasping on the floor.

The patriarch regarded him with a look of recognition. His eyes were not human, but they were not wholly inhuman either. They were the eyes of a man who had once been human, and had not forgotten it.

“You,” he said, and Harry heard the word in his head, not his ears.

Harry tried to rise, but the staff was pressed to his throat, and the fire that had called him now held him down.

“You,” the patriarch said again, and Harry felt the word like a hand on his mind.

Harry tried to speak, but the fire had stolen his breath. He could only think at the patriarch, and the patriarch heard him.

I am here to ask about the Iad.

The patriarch smiled. His teeth were yellowed, his beard matted with blood. He pressed the staff harder against Harry’s throat, and Harry felt the fire seep into his flesh, not burning, but knowing him. It was as though the fire was tasting him, as though it was reading him.

Then the pressure eased, and the patriarch said, aloud this time, “You are not of the Order. You are not of the sea. You are of the land. You are of the land, and yet you know the sea. You are of the land, and yet you know the sea. You are of the land, and yet you know the sea. You are of the land, and yet you know the sea. You are of the land, and yet you know the sea. You are of the land, and yet you know the sea. You are of the land, and yet you know the sea. You are of the land, and yet you know the sea. You are of the land, and yet you know the sea. You are of the land, and yet you know",0.154,13.19,40.27,5-6,422,32,38.74,0.3294,0.3682,0.2667,0.5092,6.0476,3.9877,1.3125,0.0,0.0,0.0,1.1493,0.0758,0.5427,1.2539,1.939,3.7085,0.7832,0.8233,0.7788,0.0237,1,0.0,0.0,12288
koboldcpp/Muse-12B.i1-Q6_K,everville.txt,ROPE-16384,512,0.0,1,0.01,1,2121,513,75.813023,75813,2025-10-16T08:17:19.003207,"The staff was raised again, and the creature was struck in the throat. This time she fell, her body twitching, her head a ruin of bone and fire.

Harry had no time to think. He was already moving, his gun in hand, the weapon he had not wanted to use. He fired twice, the shots echoing in the chamber, and the patriarch turned his head, his face a mask of calm. The bullets struck his chest, and he staggered, but did not fall. Instead, he smiled, and raised the staff a third time.

Harry fired again, and again, and the staff spat fire in return. It struck Harry in the shoulder, and the pain was immediate and vast. He was thrown back against the wall, his shoulder burning, his flesh peeling away from the wound. He had no time to curse the agony before the patriarch was upon him, the staff coming down in a killing arc.

Harry rolled, and the staff struck the floor where he had been. He fired again, and again, and the patriarch stumbled, but still did not fall. He was close enough now to see the wounds he had made, the blood that ran from them, the way his flesh was knitting itself back together.

“You are not of us,” the patriarch said, his words like the surf Harry had just seen.

Harry fired again, and again, and the patriarch fell to one knee, his face a mask of blood. He raised the staff, and Harry fired a final time, the bullet taking him in the throat. This time he fell, but not dead. He crawled, dragging the staff, and Harry put a bullet in his skull.

The staff fell from his grip, and Harry kicked it away, then knelt beside him, pressing the barrel to his temple.

“Who are you?” the patriarch said, his words thick with blood.

Harry said nothing.

The patriarch smiled. His teeth were black as the staff. “You are not of us, but you know us. You know the sea. You know the Iad. You know the door. You know the name of the sea. You know the name of the Iad. You know the name of the Iad. You know the name of the Iad. You know the name of the Iad. You know the name of the Iad. You know the name of the Iad. You know the name of the Iad. You know the name of the Iad. You know the name of the",0.223,10.69,35.44,7-8,417,39,36.17,0.3501,0.3245,0.2265,0.5704,6.1147,4.0501,1.0,0.0,0.0256,0.0,1.199,0.0695,0.5108,0.7516,-0.2908,3.8873,0.7423,0.8021,0.7347,0.0206,1,0.0,0.0,16384
koboldcpp/Muse-12B.i1-Q6_K,everville.txt,ROPE-16384,512,0.0,1,0.01,1,2174,513,122.724686,122724,2025-10-16T08:19:23.409385,"The fire had not finished with her. It climbed her throat, and she was still standing, her mouth a ruin of flame, her hands raised in supplication. Then her head fell away, and the fire followed it, burning the ground where it landed.

Harry had no time to think. The staff was turning in the man’s hands, and he was advancing, his gaze fixed on Harry.

Harry backed away, his hand on his gun. The staff was raised again, and Harry fired. The bullet struck the man in the chest, but he did not even stumble. He smiled, and the wound closed over, the blood that had come from it vanishing as he walked.

Harry fired again, and again, and again, each shot making the same impact. The man was upon him in a moment, his staff raised.

Harry ducked, and the fire that should have struck him instead went into the wall behind, burning a hole in the brickwork. He rolled away, and came up with his gun still in his hand, but the man was already upon him, his staff descending. Harry caught it with his forearm, and the pain was immediate, the fire licking up his arm, but not consuming it. He was thrown back, his shoulder slamming against the wall.

The man was on him in a moment, his staff raised again. Harry fired, and this time the bullet struck his face. The wound opened, and closed, and the man smiled.

“You are not of the Carasophia,” he said, his words like the surf outside.

Harry had no time to answer. The staff came down again, and this time Harry caught it with both arms, the fire burning up to his elbows. He screamed, but held on, and the man was forced to wrench the weapon from his grip. It fell to the ground, and Harry kicked it away, into the darkness.

The man followed it, and Harry had no choice but to grapple with him, his hands on the man’s throat. The flesh beneath his fingers was not flesh at all, but something like wax, and it melted under his grip. The man’s face was melting too, the beard falling away in strands, the eyes running like candlewax.

Harry had a moment to see the skull beneath, and it was not human. It was a spiral, a tunnel, and at the far end of it—what? A light, a light that made his head reel.

The man was laughing now,",0.2319,13.8,32.45,9-10,414,30,28.44,0.3913,0.1816,0.051,0.6159,6.4536,4.0663,1.6,0.0,0.0333,0.0,1.2874,0.0966,0.4614,0.0613,-1.2901,4.0483,0.6523,0.8088,0.6523,0.0044,1,0.0,0.0,24576
koboldcpp/Muse-12B.i1-Q6_K,everville.txt,ROPE-16384,512,0.0,1,0.01,1,2182,513,184.145247,184145,2025-10-16T08:22:29.025221,"The fire had not finished with her. It was still climbing, and as it did so, her body began to dissolve, the flesh of her face and chest and belly peeling away like old wallpaper. The fireflies that had attended her head were the last to go, their light extinguished as her skull was consumed. She fell, and the fire that had killed her ran on, seeking the next victim.

Harry had no time to retreat. The staff was already turning in the man’s direction, and he felt the heat of it on his face. He ducked, and the blast went over his head, striking the wall behind him. The brickwork melted, and the heat of it was so intense it made his skin blister.

“You are not of us,” the man said, his voice like a gale.

Harry had no time to answer. The staff was already turning again, and he had to throw himself to the ground, the blast passing over him, and striking the wall a second time. The heat was worse this time, and he felt his back blistering.

“You are not of us,” the man said again, and Harry saw the staff turning a third time. He rolled, and the blast struck the floor beside him, the stone melting and running like wax.

Harry had no weapon to counter this. He had only his wits, and his tattoos, which were now burning with the same fire as the staff. He rolled again, and the blast struck the wall a fourth time, the heat so intense it made his flesh smoke.

“You are not of us,” the man said, and Harry saw the staff turning a fifth time. He had no choice but to throw himself at the man, and as he did so, the blast struck the wall behind him, and the wall gave way, the heat of it licking at his back.

He was on his feet in a moment, and in the same motion, he reached for the man’s throat. The man was taller than Harry, but Harry had the advantage of surprise. He got his hands around the throat, and squeezed. The staff fell from the man’s grip, and Harry kicked it away, into the darkness.

The man did not struggle. He simply regarded Harry with a look of mild surprise, as though Harry had done something predictable.

“You are not of us,” he said, and Harry felt his grip weaken. The man was not suffocating. He was simply waiting for Harry to release him.

",0.2128,15.11,33.36,7-8,423,28,54.4,0.3688,0.2559,0.1188,0.6078,6.4099,4.041,1.3929,0.0,0.0,0.0,1.253,0.1111,0.4681,0.7418,0.4637,3.9858,0.6573,0.8085,0.6556,0.0034,1,0.0,0.0,32768
koboldcpp/Muse-12B.i1-Q6_K,everville.txt,ROPE-16384,512,0.0,1,0.01,1,1984,513,343.948651,343948,2025-10-16T08:28:14.548668,"The staff was still in his hands, and he turned it on the next victim, a creature with the face of a child, its flesh already torn. The fire that came from it was not the same as before. It was a different color, a different texture, and it struck the child in the chest, and the child was gone in a moment, its body reduced to a husk of bone and ash.

Harry had no time to react before the staff was turned on him. He felt the fire in his chest, and the world went white. He was aware of falling, of the ground coming up to meet him, but the pain was not what he expected. It was a kind of ecstasy, a kind of revelation. He was aware of the staff being withdrawn, and of the prophet standing over him, his face inches from Harry’s.

“You are not of us,” the prophet said, his words like the sea itself. Harry tried to speak, but his mouth was full of blood. He tried to move, but his limbs were useless.

The prophet knelt beside him, and ran his fingers through Harry’s hair. The touch was not cruel, but tender. Harry felt his head being lifted, and the prophet’s face was inches from his. He had never seen such a face. It was a face of bone and sinew, but the bone was not white, it was blue, and the sinew was not flesh, it was a kind of light. The prophet’s eyes were the same, and they regarded Harry with a terrible patience.

“You are not of us, but you are of the sea,” the prophet said. “You are of the sea, and you are of the land. You are of the land, and you are of the sea. You are of the sea, and you are of the land. You are of the sea, and you are of the land. You are of the sea, and you are of the land. You are of the sea, and you are of the land. You are of the sea, and you are of the land. You are of the sea, and you are of the land. You are of the sea, and you are of the land. You are of the sea, and you are of the land. You are of the sea, and you are of the land. You are of the sea, and you are of the land. You are of the sea, and you are of the land.",0.1395,13.65,41.33,5-6,423,31,38.44,0.2813,0.4408,0.3397,0.4419,5.5769,3.9342,1.2903,0.0,0.0,0.0,1.1418,0.0615,0.5272,1.9063,2.8706,3.5201,0.7985,0.8295,0.797,0.029,1,0.0,0.0,49152
koboldcpp/Muse-12B.i1-Q6_K,everville.txt,ROPE-16384,512,0.0,1,0.01,1,2056,513,558.197558,558197,2025-10-16T08:37:34.577484,"Harry had seen enough. He turned and ran for the stairs, but the prophet was already upon him, his staff raised. He had no time to draw his gun, no time to dodge the blast that came from it. It struck him in the chest, and he was thrown back against the wall, the impact driving the air from his lungs. He fell, and as he did so the prophet was upon him, his staff raised for a second strike.

Harry rolled onto his back, and got his gun out. The prophet was already upon him, his staff descending. Harry fired, and the bullet struck the prophet in the shoulder. It had no effect. The prophet smiled, and struck again, this time at Harry’s groin. The pain was immediate and terrible, but Harry fired a second time, and a third, and a fourth. The prophet staggered, but did not fall. He was on his knees now, his staff raised for a fifth strike, and Harry fired again, and again, and again. The prophet fell, but not from the bullets. He fell because he chose to, and as he did so, the staff in his hand spat a final burst of fire, which Harry had no time to dodge. It struck him in the face, and he was thrown back against the wall, his flesh burning, his vision blurring.

He was blind for a moment, but not unconscious. He could hear the prophet laughing, and feel the staff being dragged from his wound. Then the prophet was upon him, his hands at Harry’s throat.

“You don’t know what you are, do you?” the prophet said, his breath hot on Harry’s face.

Harry tried to speak, but his throat was crushed. He could only shake his head.

“You don’t know what you are, and that’s the problem. You think you’re human, but you’re not. You think you’re a man, but you’re not. You think you’re a detective, but you’re not. You think you’re a man of faith, but you’re not. You think you’re a man of reason, but you’re not. You think you’re a man of love, but you’re not. You think you’re a man of anything, but you’re not. You think you’re a man of anything, but you’re not. You think you’re a man of anything, but you’re not. You think you’re a man of anything",0.2304,11.62,34.1,7-8,395,34,32.06,0.3342,0.3604,0.2545,0.5623,6.2026,4.0608,1.2647,0.0,0.0294,0.0,1.2152,0.0937,0.5215,1.1747,0.802,4.0051,0.7315,0.8157,0.7339,0.0169,1,0.0,0.0,65536
koboldcpp/Muse-12B.i1-Q6_K,everville.txt,ROPE-16384,512,0.0,1,0.01,1,2175,513,1133.449698,1133449,2025-10-16T08:56:30.442728,"The creature was still standing, Harry saw, its staff now at its side, the fire still breaking from it. It had not felled the woman, but she was on her knees, her back a ruin of meat and bone, her mouth a ruin of teeth and tongue. She was still alive, still sobbing, still reaching for him.

Harry stepped forward, and the staff struck her again, the fire now climbing her throat. She fell, but not dead. She was still reaching, still sobbing, still alive.

He struck her a third time, and the staff broke in his grip, the fire now climbing her face. She fell, but not dead. She was still reaching, still alive.

He struck her a fourth time, and the staff broke in his grip, the fire now climbing her skull. She fell, but not dead. She was still reaching, still alive.

He struck her a fifth time, and the staff broke in his grip, the fire now climbing her face. She fell, but not dead. She was still reaching, still alive.

He struck her a sixth time, and the staff broke in his grip, the fire now climbing her skull. She fell, but not dead. She was still reaching, still alive.

He struck her a seventh time, and the staff broke in his grip, the fire now climbing her face. She fell, but not dead. She was still reaching, still alive.

He struck her an eighth time, and the staff broke in his grip, the fire now climbing her skull. She fell, but not dead. She was still reaching, still alive.

He struck her a ninth time, and the staff broke in his grip, the fire now climbing her face. She fell, but not dead. She was still reaching, still alive.

He struck her a tenth time, and the staff broke in his grip, the fire now climbing her skull. She fell, but not dead. She was still reaching, still alive.

He struck her an eleventh time, and the staff broke in his grip, the fire now climbing her face. She fell, but not dead. She was still reaching, still alive.

He struck her a twelfth time, and the staff broke in his grip, the fire now climbing her skull. She fell, but not dead. She was still reaching, still alive.

He struck her a thirteenth time, and the staff broke in his grip, the fire now climbing her face. She fell, but not dead. She was still reaching, still",0.1667,10.62,40.84,5-6,414,39,47.24,0.1643,0.7361,0.6796,0.3288,5.1927,4.0409,1.4615,0.0,0.0,0.0,1.128,0.087,0.4227,0.7193,-1.0639,3.9976,0.692,0.8796,0.6914,0.0046,1,0.0,0.0,98304
